date,Consommation_kWh,Température,Humidité,Heure,Jour_semaine,Jour_férié,Type_bâtiment,Surface,Occupants,Consommation_J-1,Consommation_H-1,month,is_weekend,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos,conso_H_1,conso_H_2,conso_H_6,conso_J_1,conso_J_7,rolling_mean_6h,rolling_mean_24h
2016-01-19 17:00:00,0.43,-1.125,77.75,17,2,0,Résidentiel,267,5,0.21,0.25,1,0,-0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0.25,0.23,0.2,0.21,1.31,0.23500000000000001,0.5570833333333334
2016-01-19 18:00:00,1.05,-2.2916666666666665,85.08333333333333,18,2,0,Industriel,161,3,1.8,0.43,1,0,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0.43,0.25,0.26,1.8,0.35,0.2733333333333333,0.56625
2016-01-19 19:00:00,2.12,-2.8249999999999997,88.41666666666667,19,2,0,Résidentiel,281,3,1.17,1.05,1,0,-0.9659258262890684,0.2588190451025203,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,1.05,0.43,0.2,1.17,0.33,0.40499999999999997,0.535
2016-01-19 20:00:00,2.69,-3.625,91.08333333333333,20,2,0,Résidentiel,211,5,3.35,2.12,1,0,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,2.12,1.05,0.27,3.35,0.31,0.725,0.5745833333333333
2016-01-19 21:00:00,0.92,-4.125,92.75,21,2,0,Résidentiel,116,6,2.07,2.69,1,0,-0.7071067811865477,0.7071067811865474,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,2.69,2.12,0.23,2.07,0.25,1.1283333333333332,0.5470833333333334
2016-01-19 22:00:00,0.34,-3.766666666666666,91.0,22,2,0,Résidentiel,211,2,0.34,0.92,1,0,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0.92,2.69,0.25,0.34,0.28,1.2433333333333334,0.4991666666666667
2016-01-19 23:00:00,0.28,-4.208333333333333,92.25,23,2,0,Résidentiel,156,2,0.27,0.34,1,0,-0.25881904510252157,0.9659258262890681,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0.34,0.92,0.43,0.27,0.26,1.2583333333333333,0.4991666666666667
2016-01-20 00:00:00,0.22,-4.625,94.0,0,3,0,Résidentiel,168,4,0.28,0.28,1,0,0.0,1.0,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.28,0.34,1.05,0.28,0.19,1.2333333333333334,0.4995833333333333
2016-01-20 01:00:00,0.27,-4.827777777777777,93.58333333333333,1,3,0,Résidentiel,332,6,0.27,0.22,1,0,0.25881904510252074,0.9659258262890683,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.22,0.28,2.12,0.27,0.29,1.095,0.4970833333333333
2016-01-20 02:00:00,0.19,-4.894444444444445,92.58333333333333,2,3,0,Commercial,273,1,0.2,0.27,1,0,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.27,0.22,2.69,0.2,0.27,0.7866666666666665,0.4970833333333334
2016-01-20 03:00:00,0.26,-4.961111111111111,91.58333333333333,3,3,0,Commercial,255,3,0.28,0.19,1,0,0.7071067811865476,0.7071067811865476,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.19,0.27,0.92,0.28,0.19,0.36999999999999994,0.49666666666666665
2016-01-20 04:00:00,0.25,-4.583333333333333,90.58333333333333,4,3,0,Commercial,112,4,0.2,0.26,1,0,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.26,0.19,0.34,0.2,0.27,0.25999999999999995,0.49583333333333335
2016-01-20 05:00:00,0.23,-3.5833333333333335,90.0,5,3,0,Commercial,137,5,0.27,0.25,1,0,0.9659258262890683,0.25881904510252074,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.25,0.26,0.28,0.27,0.25,0.24499999999999997,0.49791666666666673
2016-01-20 06:00:00,0.7,-2.9166666666666665,90.0,6,3,0,Résidentiel,280,6,0.28,0.23,1,0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.23,0.25,0.22,0.28,0.4,0.2366666666666666,0.49625
2016-01-20 07:00:00,0.32,-2.6333333333333333,88.33333333333333,7,3,0,Commercial,107,3,0.25,0.7,1,0,0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.7,0.23,0.27,0.25,0.38,0.3166666666666666,0.51375
2016-01-20 08:00:00,0.96,-2.3166666666666664,86.83333333333333,8,3,0,Commercial,114,1,0.25,0.32,1,0,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.32,0.7,0.19,0.25,1.25,0.3249999999999999,0.5166666666666667
2016-01-20 09:00:00,0.4,-2.1166666666666667,88.41666666666667,9,3,0,Résidentiel,204,1,0.2,0.96,1,0,0.7071067811865476,-0.7071067811865475,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.96,0.32,0.26,0.2,1.32,0.4533333333333333,0.54625
2016-01-20 10:00:00,0.47,-1.875,88.58333333333333,10,3,0,Commercial,121,2,0.27,0.4,1,0,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.4,0.96,0.25,0.27,0.4,0.4766666666666666,0.5545833333333333
2016-01-20 11:00:00,0.49,-1.3666666666666665,86.33333333333333,11,3,0,Résidentiel,164,4,0.2,0.47,1,0,0.258819045102521,-0.9659258262890682,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.47,0.4,0.23,0.2,0.36,0.5133333333333333,0.5629166666666666
2016-01-20 12:00:00,0.79,-0.6916666666666665,83.58333333333333,12,3,0,Commercial,267,5,0.26,0.49,1,0,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.49,0.47,0.7,0.26,0.25,0.5566666666666666,0.5750000000000001
2016-01-20 13:00:00,0.45,-0.10833333333333339,82.16666666666667,13,3,0,Industriel,190,3,0.2,0.79,1,0,-0.2588190451025208,-0.9659258262890683,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.79,0.49,0.32,0.2,0.21,0.5716666666666667,0.5970833333333333
2016-01-20 14:00:00,0.33,0.425,80.58333333333333,14,3,0,Résidentiel,350,1,0.27,0.45,1,0,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.45,0.79,0.96,0.27,0.27,0.5933333333333333,0.6075
2016-01-20 15:00:00,0.48,0.6,81.25,15,3,0,Commercial,184,3,0.23,0.33,1,0,-0.7071067811865471,-0.7071067811865479,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.33,0.45,0.4,0.23,0.25,0.4883333333333333,0.61
2016-01-20 16:00:00,0.42,0.47500000000000003,84.66666666666667,16,3,0,Commercial,399,5,0.25,0.48,1,0,-0.8660254037844385,-0.5000000000000004,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.48,0.33,0.47,0.25,0.48,0.5016666666666666,0.6204166666666667
2016-01-20 17:00:00,1.11,0.21666666666666667,88.25,17,3,0,Industriel,120,3,0.43,0.42,1,0,-0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.42,0.48,0.49,0.43,0.58,0.49333333333333323,0.6275000000000001
2016-01-20 18:00:00,1.35,-0.024999999999999998,91.25,18,3,0,Résidentiel,294,4,1.05,1.11,1,0,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,1.11,0.42,0.79,1.05,0.67,0.5966666666666666,0.6558333333333334
2016-01-20 19:00:00,2.37,-0.075,91.75,19,3,0,Commercial,150,2,2.12,1.35,1,0,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,1.35,1.11,0.45,2.12,1.28,0.69,0.6683333333333334
2016-01-20 20:00:00,1.7,0.18333333333333335,90.0,20,3,0,Résidentiel,135,3,2.69,2.37,1,0,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,2.37,1.35,0.33,2.69,1.49,1.01,0.67875
2016-01-20 21:00:00,1.56,0.3,89.58333333333333,21,3,0,Résidentiel,315,6,0.92,1.7,1,0,-0.7071067811865477,0.7071067811865474,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,1.7,2.37,0.48,0.92,1.88,1.2383333333333333,0.6375000000000001
